2023-11-01 05:12:06 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:12:06 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:12:06 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-11-01 05:12:06 install libssh2-1:amd64 <none> 1.10.0-3+b1
2023-11-01 05:12:06 status half-installed libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:12:06 status unpacked libssh2-1:amd64 1.10.0-3+b1
2023-11-01 05:12:06 install libcurl4:amd64 <none> 7.88.1-10+deb12u4
2023-11-01 05:12:06 status half-installed libcurl4:amd64 7.88.1-10+deb12u4
2023-11-01 05:12:06 status unpacked libcurl4:amd64 7.88.1-10+deb12u4
2023-11-01 05:12:06 install curl:amd64 <none> 7.88.1-10+deb12u4
2023-11-01 05:12:06 status half-installed curl:amd64 7.88.1-10+deb12u4
2023-11-01 05:12:07 status unpacked curl:amd64 7.88.1-10+deb12u4
2023-11-01 05:12:07 install fonts-dejavu-core:all <none> 2.37-6
2023-11-01 05:12:07 status half-installed fonts-dejavu-core:all 2.37-6
2023-11-01 05:12:07 status unpacked fonts-dejavu-core:all 2.37-6
2023-11-01 05:12:07 install fontconfig-config:amd64 <none> 2.14.1-4
2023-11-01 05:12:07 status half-installed fontconfig-config:amd64 2.14.1-4
2023-11-01 05:12:07 status unpacked fontconfig-config:amd64 2.14.1-4
2023-11-01 05:12:07 install libabsl20220623:amd64 <none> 20220623.1-1
2023-11-01 05:12:07 status half-installed libabsl20220623:amd64 20220623.1-1
2023-11-01 05:12:07 status unpacked libabsl20220623:amd64 20220623.1-1
2023-11-01 05:12:07 install libaom3:amd64 <none> 3.6.0-1
2023-11-01 05:12:07 status half-installed libaom3:amd64 3.6.0-1
2023-11-01 05:12:07 status unpacked libaom3:amd64 3.6.0-1
2023-11-01 05:12:07 install libdav1d6:amd64 <none> 1.0.0-2
2023-11-01 05:12:07 status half-installed libdav1d6:amd64 1.0.0-2
2023-11-01 05:12:07 status unpacked libdav1d6:amd64 1.0.0-2
2023-11-01 05:12:07 install libgav1-1:amd64 <none> 0.18.0-1+b1
2023-11-01 05:12:07 status half-installed libgav1-1:amd64 0.18.0-1+b1
2023-11-01 05:12:07 status unpacked libgav1-1:amd64 0.18.0-1+b1
2023-11-01 05:12:07 install librav1e0:amd64 <none> 0.5.1-6
2023-11-01 05:12:07 status half-installed librav1e0:amd64 0.5.1-6
2023-11-01 05:12:07 status unpacked librav1e0:amd64 0.5.1-6
2023-11-01 05:12:07 install libsvtav1enc1:amd64 <none> 1.4.1+dfsg-1
2023-11-01 05:12:07 status half-installed libsvtav1enc1:amd64 1.4.1+dfsg-1
2023-11-01 05:12:07 status unpacked libsvtav1enc1:amd64 1.4.1+dfsg-1
2023-11-01 05:12:08 install libjpeg62-turbo:amd64 <none> 1:2.1.5-2
2023-11-01 05:12:08 status half-installed libjpeg62-turbo:amd64 1:2.1.5-2
2023-11-01 05:12:08 status unpacked libjpeg62-turbo:amd64 1:2.1.5-2
2023-11-01 05:12:08 install libyuv0:amd64 <none> 0.0~git20230123.b2528b0-1
2023-11-01 05:12:08 status half-installed libyuv0:amd64 0.0~git20230123.b2528b0-1
2023-11-01 05:12:08 status unpacked libyuv0:amd64 0.0~git20230123.b2528b0-1
2023-11-01 05:12:08 install libavif15:amd64 <none> 0.11.1-1
2023-11-01 05:12:08 status half-installed libavif15:amd64 0.11.1-1
2023-11-01 05:12:08 status unpacked libavif15:amd64 0.11.1-1
